bond_proceeds,business_name,compensation_from_other_srcs,contrct_rcvd_greater_than_100k,ein,exclusion_amount,executive_compensation,formation_year,fundraising_expenses,group_return_for_affiliates,indiv_rcvd_greater_than_100k,investment_income,management_and_general_expenses,net_assets_boy,net_assets_eoy,net_fundraising,net_inventory_sales,operating_margin,other_compensations,other_revenue,other_salaries_and_wages,professional_fundraising_fees,program_efficiency,program_service_revenue,program_services_expenses,related_or_exempt_func_income,rental_property_income,royalties,sales_of_assets,tax_period_begin,tax_period_end,tot_reportable_comp_rltd_org,total_assets_boy,total_assets_eoy,total_comp_greater_than_150k,total_contributions,total_employees,total_expenses,total_gross_ubi,total_liabilities_boy,total_liabilities_eoy,total_revenue,total_volunteers,unrelated_business_revenue,voting_members_governing_body,voting_members_independent,website
,MADISON CHILDREN'S MUSEUM FOUNDATION,0,0,431956290,-14657,0,2009,8435,0,0,,0,1394514,2234477,,,0.15224949832217494,6100,,,,0.9978140464940778,1436394,3850293,1436394,,,-14657,2021-07-01,2022-06-30,102330,1884766,2957823,0,3129989,0,3858728,0,490252,723346,4551726,7,0,7,7,N/A
,MADISON CHILDREN'S MUSEUM FOUNDATION,0,0,431956290,0,0,2009,7823,0,0,,0,1244139,1394514,,,0.09677188446287732,8446,,,,0.9968687885097387,466449,2490571,466449,,,,2020-07-01,2021-06-30,86626,1609627,1884766,0,2299623,0,2498394,0,365488,490252,2766072,7,0,7,7,N/A
,MADISON CHILDREN'S MUSEUM FOUNDATION,0,0,431956290,0,0,2009,5398,0,0,,0,709028,1244139,,,0.19478833442748997,6168,,,,0.9986276824765374,1603059,3928094,1603059,,,,2019-07-01,2020-06-30,112875,1507653,1609627,0,3281982,0,3933492,0,798625,365488,4885041,7,0,7,7,N/A
,MADISON CHILDREN'S MUSEUM FOUNDATION,0,0,431956290,108463,0,2009,47809,0,0,108463,0,5429538,709028,,,-1.1332119071785103,6439,,,,0.9938900495183441,2130538,7776968,2130538,,,,2018-07-01,2019-06-30,111539,6805911,1507653,0,1429072,0,7824777,0,1376373,798625,3668073,7,0,7,7,N/A
,MADISON CHILDREN'S MUSEUM FOUNDATION,0,0,431956290,288211,0,2009,22039,0,0,288211,0,4730419,5429538,,,-0.017372868054345878,6416,,,,0.9933330530103811,2010167,3283672,2010167,,,,2017-07-01,2018-06-30,105071,5344298,6805911,0,950884,0,3305711,0,613879,1376373,3249262,7,0,7,7,N/A
,Madison Children'S Museum Foundation,0,0,431956290,285502,0,2009,12070,0,0,285502,0,4778621,4730419,,,0.0033680870801403324,6095,,,,0.9961405813237391,1957518,3115344,1957518,,,,2016-07-01,2017-06-30,103266,5445871,5344298,0,894963,0,3127414,0,667250,613879,3137983,7,0,7,7,N/A
,Madison Children's Museum Foundation,0,0,431956290,284544,0,2009,35243,0,0,284544,0,4560185,4778621,,,0.04924715509798613,5855,,,,0.9880091753981745,1986471,2903921,1986471,,,,2015-07-01,2016-06-30,100991,5195270,5445871,0,820392,0,2939164,0,635085,667250,3091407,7,0,7,7,N/A
,MADISON CHILDREN'S MUSEUM FOUNDATION INC,0,0,431956290,235259,0,2009,1250,0,0,235259,0,4259413,4560185,,,0.09786471626722153,6278,,,,0.9995958732516265,2103535,3091839,2103535,,,,2014-07-01,2015-06-30,99781,4900233,5195270,0,1089837,0,3093089,0,640820,635085,3428631,7,0,7,7,N/A
,,0,0,431956290,182379,0,2009,0,0,0,182379,0,2850215,4259413,,,0.3367301134738557,1346,,,,1.0,2049624,2655269,2049624,,,,2013-07-01,2014-06-30,48362,3923725,4900233,0,1771298,0,2655269,0,1073510,640820,4003301,7,0,7,7,N/A
,RED RIVER FILM SOCIETY INC,0,0,421562125,22732,92801,2003,26354,0,0,4699,290748,2714482,2281115,-30634,232765,-0.4780471069967745,0,,488154,,0.7633385252747039,216852,1022795,216852,48667,,,2022-07-01,2023-06-30,0,3464277,3002727,0,434183,61,1339897,232765,749795,721612,906532,25,232765,25,25,WWW.ROBINSONFILMCENTER.ORG
,RED RIVER FILM SOCIETY INC,0,0,421562125,42112,86607,2003,83002,0,0,2858,227868,2481064,2714482,-5577,272476,0.1501095831211125,0,,459121,,0.7647714907919847,208822,1010696,208822,44831,,,2021-07-01,2022-06-30,0,3219020,3464277,0,1031574,52,1321566,272476,737956,749795,1554984,18,272476,18,18,WWW.ROBINSONFILMCENTER.ORG
,RED RIVER FILM SOCIETY INC,0,0,421562125,41695,65353,2003,29111,0,0,1753,168461,2214971,2481064,0,260629,0.24870851329714896,0,,433766,,0.7542025379447623,119632,606228,119632,39942,,,2020-07-01,2021-06-30,0,3227109,3219020,0,647935,54,803800,260629,1012138,737956,1069891,18,260629,18,18,WWW.ROBINSONFILMCENTER.ORG
,RED RIVER FILM SOCIETY INC,0,0,421562125,22992,68500,2003,38127,0,0,,219257,2444944,2214971,-14173,269770,-0.23012779651824286,1700,,526336,,0.7906247076576411,291792,971911,291792,37165,,,2019-07-01,2020-06-30,0,2861431,3227109,0,414769,59,1229295,269770,416487,1012138,999323,10,269770,20,19,WWW.ROBINSONFILMCENTER.ORG
,RED RIVER FILM SOCIETY INC,0,0,421562125,61847,68500,2003,58765,0,0,,232503,2648843,2444944,5266,340282,-0.18095531384674368,4016,,553655,,0.7811152250973367,333854,1039423,333854,56581,,,2018-07-01,2019-06-30,0,3022052,2861431,0,390809,54,1330691,340282,373209,416487,1126792,39,340282,24,23,WWW.ROBINSONFILMCENTER.ORG
,RED RIVER FILM SOCIETY INC,0,0,421562125,83201,63469,2003,107606,0,0,,212764,2687973,2648843,22385,471761,-0.027636350795416424,0,,580278,,0.779822907159587,386557,1134686,386557,60816,,,2017-07-01,2018-06-30,0,3111064,3022052,0,474406,47,1455056,471761,423091,373209,1415925,42,471761,27,26,WWW.ROBINSONFILMCENTER.ORG
,RED RIVER FILM SOCIETY INC,0,0,421562125,92154,59008,2003,78677,0,0,,199807,2863401,2687973,33472,472518,-0.12063275032742195,0,,551556,,0.7894790952448268,297751,1044349,297751,58682,,,2016-07-01,2017-06-30,0,3279290,3111064,0,318011,53,1322833,472518,415889,423091,1180434,42,472518,28,27,WWW.ROBINSONFILMCENTER.ORG
,RED RIVER FILM SOCIETY INC,0,0,421562125,81623,77167,2003,83004,0,0,22,201001,2881090,2863401,21982,439106,-0.01369813155905785,0,,530798,,0.7830421387390539,315358,1025028,315358,59619,,,2015-07-01,2016-06-30,0,3425119,3279290,0,455257,53,1309033,439106,544029,415889,1291344,18,439106,29,28,WWW.ROBINSONFILMCENTER.ORG
,RED RIVER FILM SOCIETY INC,0,0,421562125,37949,70836,2003,58183,0,0,,230327,3053390,2881090,9196,386215,-0.16149046733519873,4523,,517393,,0.7841495713067289,298985,1048110,298985,47416,,-18663,2014-07-01,2015-06-30,0,3582218,3425119,0,427631,47,1336620,386215,528828,544029,1150780,20,386215,25,24,WWW.ROBINSONFILMCENTER.ORG
,,0,0,421562125,42744,70000,2003,69888,0,0,,214033,3162275,3053390,-6496,328250,-0.09136947218259629,0,,537448,,0.7816974669091217,294788,1016664,294788,49240,,,2013-07-01,2014-06-30,0,3696460,3582218,0,525918,51,1300585,328250,534185,528828,1191700,20,328250,25,24,WWW.ROBINSONFILMCENTER.ORG
,,,,421562125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MUSIC MOUNTAIN THEATRE PRODUCTIONS,false,,453415948,100,,2013,6081,false,,,17875,-4544,-20058,100,,-0.012552470524268326,,48607,448018,,0.9808573442242015,924918,1227490,996825,23300,,,2023-01-01,2023-12-31,,470549,500531,false,239007,4,1251446,0,475093,520589,1235932,,,8,8,MUSICMOUNTAINTHEATRE.ORG
,MUSIC MOUNTAIN THEATRE PRODUCTIONS,false,,453415948,,,2013,9899,false,,,47699,312794,-4544,,,-0.4165284092698959,,,402632,,0.9466290833412095,700828,1021604,714278,13450,,,2022-01-01,2022-12-31,,790277,470549,false,47586,16,1079202,0,477483,475093,761864,,,8,8,MUSICMOUNTAINTHEATRE.ORG
,CURTAINS UP PRODUCTIONS INC,false,,453415948,3222,11250,2013,0,false,,,38831,33190,312794,3222,,0.2683530308294447,,,180184,,0.9490622073087226,483827,723491,487077,3250,,,2021-01-01,2021-12-31,,527316,790277,false,551627,18,762322,0,494126,477483,1041926,134,,8,8,MUSICMOUNTAINTHEATRE.ORG
,CURTAINS UP PRODUCTIONS INC,false,,453415948,-1410,,2013,0,false,,,37111,265429,33190,-1410,,-0.7407304634050655,,,86370,,0.932001993528362,206022,508655,212972,6950,,,2020-01-01,2020-12-31,,557981,527316,false,101965,10,545766,0,292552,494126,313527,134,,8,8,MUSICMOUNTAINTHEATRE.ORG
,CURTAINS UP PRODUCTIONS INC,false,,453415948,-3237,,2013,0,false,,,39935,178115,265429,-3237,,0.09673727212593086,,1160,198714,,0.9510131633340243,708987,775284,725369,15222,,,2019-01-01,2019-12-31,,439206,557981,false,180395,16,815219,0,261091,292552,902527,165,,7,7,MUSICMOUNTAINTHEATRE.ORG
,CURTAINS UP PRODUCTIONS INC,false,,453415948,7977,,2013,0,false,,,28747,137515,146493,7977,,0.03758943329485464,,,169120,,0.9556805708013172,630614,619885,635489,4875,,,2018-01-01,2018-12-31,,137515,178039,false,30500,12,648632,0,,31546,673966,165,,10,10,MUSICMOUNTAINTHEATRE.ORG
,CURTAINS UP PRODUCTIONS INC,false,,453415948,,,2013,4376,false,,,6106,57452,137515,35338,,0.2745757712937432,,,39225,,0.9504455738092424,171739,201043,171739,,,,2017-01-01,2017-12-31,,57452,137515,false,84511,12,211525,0,,0,291588,165,,10,10,MUSICMOUNTAINTHEATRE.ORG
,CURTAIN UP PRODUCTIONS INC,,,453415948,,,,,,,,,18823,57452,,,,,,,,,,,,,,,2016-01-01,2016-12-31,,,,,,,,,,,,,,,,WWW.CURTAINUPPRODUCTIONS.ORG
0,BILLINGS DEPOT INC,false,0,810500554,5112,102406,1994,0,false,1,5112,36713,1656481,1575604,-30757,0,-0.13452572434177587,12804,711,177522,0,0.9461747776647246,530779,645365,531490,0,0,0,2023-01-01,2023-12-31,,2324818,2275305,false,95356,16,682078,0,668337,699701,601201,,,16,20,WWW.BILLINGSDEPOT.ORG
0,BILLINGS DEPOT INC,false,0,810500554,929,92911,1994,0,false,0,929,26817,1730890,1711328,-77921,0,-0.03952494265593741,,4122,143193,0,0.9538791746853991,483577,554634,487749,0,0,50,2021-01-01,2021-12-31,,2485812,2400537,false,148586,18,581451,0,754922,689209,559343,,,20,20,WWW.BILLINGSDEPOT.ORG
,BILLINGS DEPOT,0,0,810500554,-24468,0,1994,0,0,0,314,28935,1755301,1730890,-24831,,-0.04890847017526988,0,510,122332,,0.9447306442647657,335311,494592,335772,,,,2020-01-01,2020-12-31,0,2549905,2485812,0,187812,19,523527,0,794604,754922,499116,0,0,18,18,BILLINGSDEPOT.ORG
,BILLINGS DEPOT,0,0,810500554,-46258,0,1994,0,0,0,2019,52752,1871966,1755301,-46719,,-0.26760408003937475,0,749,203658,,0.9117133159723384,373108,544756,375415,,,,2019-01-01,2019-12-31,0,2721150,2549905,0,142211,11,597508,0,849184,794604,471368,350,0,19,19,BILLINGSDEPOT.ORG
,BILLINGS DEPOT INC,false,,810500554,31284,,1994,16673,false,,628,33340,2080727,1871966,30568,,-0.34848862968179517,,356,,,0.9366048555663581,387805,738896,388073,,,,2018-01-01,2018-12-31,,2993102,2721150,false,165675,0,788909,0,912375,849184,585032,350,,14,12,BILLINGSDEPOT.ORG
,BILLINGS DEPOT INC,false,,810500554,-24923,75423,1994,25606,false,,687,40540,2204422,2080727,-28509,,-0.24190288907715865,83,3586,143064,,0.8965042449125201,395723,572972,396410,,,,2017-01-01,2017-12-31,,3160702,2993102,false,143141,13,639118,0,956280,912375,514628,614,,14,12,BILLINGSDEPOT.ORG
,BILLINGS DEPOT INC,false,,810500554,76671,90718,1994,30041,false,,665,48255,2087205,2204422,76671,,0.16303574090248668,,,121111,,0.8696856317324209,463050,522528,463715,,,,2016-01-01,2016-12-31,,3071824,3160702,false,177475,22,600824,0,984619,956280,717861,225,,13,13,BILLINGSDEPOT.ORG
,BILLINGS DEPOT INC,0,0,810500554,82490,86145,1994,34443,0,0,666,52063,2065407,2087205,82490,,0.03461905562196974,0,,122565,,0.8579276614544242,488040,522381,488706,,,,2015-01-01,2015-12-31,0,3094907,3071824,0,59526,18,608887,0,1029500,984619,630722,120,0,10,10,BILLINGSDEPOT.ORG
,BILLINGS DEPOT INC,0,0,810500554,50620,71484,1994,42055,0,0,626,50895,2087824,2065407,50620,,-0.043313000381242854,0,,89172,,0.8301730973722964,446888,454372,447514,,,,2014-01-01,2014-12-31,0,3153563,3094907,0,26466,15,547322,0,1065739,1029500,524600,135,0,12,12,BILLINGSDEPOT.ORG
,,0,0,810500554,36951,63458,1994,13802,0,0,571,90497,2113814,2087824,36380,,-0.05371810714545323,0,,68763,,0.8001383523424086,416074,417557,416074,,,,2013-01-01,2013-12-31,0,3216142,3153563,0,42227,15,521856,0,1102328,1065739,495252,16,0,18,18,BILLINGSDEPOT.ORG
,CONFLUENCE COUNCIL INC,0,0,455405233,-15414,169418,2014,264834,0,1,18273,764146,2269531,873063,-33687,227792,-0.23866662200288355,18073,,1583041,,0.8580245687119253,4042058,6218612,4269850,,,,2022-07-01,2023-06-30,0,3541289,13198452,1,1596688,230,7247592,0,1271758,12325389,5851124,15,0,15,15,WWW.PABLOCENTER.ORG
,CONFLUENCE COUNCIL INC,0,0,455405233,16201,121350,2014,311618,0,1,10183,661400,249211,2269531,6018,182814,0.2126735619498604,7893,13891,1201660,,0.8699054311539041,2839090,6506295,3035795,,,,2021-07-01,2022-06-30,0,2219031,3541289,0,6447638,153,7479313,0,1969820,1271758,9499634,14,0,11,11,WWW.PABLOCENTER.ORG
,CONFLUENCE COUNCIL INC,0,0,455405233,13127,93462,2014,250406,0,0,829,451863,-780232,249211,12298,-1013,0.2651791070881642,7940,,816342,,0.7538162272520604,637056,2150352,636043,,,,2020-07-01,2021-06-30,0,1183416,2219031,0,3232893,111,2852621,0,1963648,1969820,3882063,14,0,11,11,WWW.PABLOCENTER.ORG
,CONFLUENCE COUNCIL INC,0,0,455405233,21236,98980,2014,259442,0,0,2470,468729,143882,-780232,18766,122982,-0.3561771022830409,0,,912059,,0.8221474124983911,2009599,3366068,2132581,,,,2019-07-01,2020-06-30,0,978271,1183416,0,865139,148,4094239,0,834389,1963648,3018956,13,0,13,13,WWW.PABLOCENTER.ORG
,CONFLUENCE COUNCIL INC,false,,455405233,396,65614,,297409,false,,396,376792,1171,143882,,,0.040939146468863735,3262,,673133,,0.8034810216056877,2226221,2756516,2226221,,,,2018-07-01,2019-06-30,,103206,978269,false,1350546,77,3430717,0,102035,834387,3577163,,,13,13,WWW.PABLOCENTER.ORG
,CONFLUENCE COUNCIL INC,0,0,455405233,-101458,24754,2014,26480,0,0,,98024,78991,187190,-101458,,0.42466285696343625,0,,40730,,0.15065932641603394,,22085,0,,,,2017-01-01,2017-12-31,0,118382,293590,0,356246,4,146589,0,39391,106400,254788,13,0,11,11,COMMUNITYFORTHECONFLUENCE.ORG
,CONFLUENCE COUNCIL INC,,,455405233,,,,,,,,,0,118382,,,,,,,,,,,,,,,2016-01-01,2016-12-31,,,,,,,,,,,,,,,,COMMUNITYFORTHECONFLUENCE.ORG
,AMERICAN COLLEGE OF OCCUPATIONAL AND,0,5,363593614,376229,670666,1916,0,0,4,45288,1573289,1766353,1989672,9084,,0.014438603088055354,48062,,997073,,0.7499984904144495,3054976,4719829,2984874,,,321857,2023-01-01,2023-12-31,0,4903983,4685890,1,2954108,17,6293118,70102,3137630,2696218,6385313,40,70102,19,19,WWW.ACOEM.ORG
,AMERICAN COLLEGE OF OCCUPATIONAL AND,0,9,363593614,70058,586700,1916,0,0,4,50015,2517736,3741891,1766353,,,-0.2831380815548362,61184,20000,1192677,,0.5794848600346134,2946604,3469530,2889507,,,20043,2022-01-01,2022-12-31,0,5381451,4903983,1,1629450,17,5987266,77097,1639560,3137630,4666112,40,77097,19,19,WWW.ACOEM.ORG
,AMERICAN COLLEGE OF OCCUPATIONAL AND,0,5,363593614,354924,669927,1916,0,0,4,58054,2347296,2953350,3741891,,,0.08896593518086139,81671,87709,872155,,0.448852209819243,2610357,1911627,2634495,,,296870,2021-01-01,2021-12-31,0,5115240,5381451,1,1621833,23,4258923,63571,2161890,1639560,4674823,40,63571,20,20,WWW.ACOEM.ORG
,AMERICAN COLLEGE OF OCCUPATIONAL AND,0,2,363593614,293368,420161,1916,0,0,2,58471,2236234,3208227,2953350,,,-0.08387012876303167,53318,63203,993433,,0.439872075760646,1748805,1756129,1764553,,,234897,2020-01-01,2020-12-31,0,4998905,5115240,1,1578057,19,3992363,47455,1790678,2161890,3683433,20,47455,17,17,WWW.ACOEM.ORG
,AMERICAN COLLEGE OF OCCUPATIONAL AND,0,5,363593614,444250,534348,1916,202223,0,3,80986,2416728,3293659,3208227,,,-0.09209298091723077,88343,78896,1031390,,0.5038764286315068,2972316,2659877,3010291,,,363264,2019-01-01,2019-12-31,0,5214761,4998905,1,1338218,18,5278828,40921,1921102,1790678,4833680,17,40921,17,17,WWW.ACOEM.ORG
,AMERICAN COLLEGE OF OCCUPATIONAL AND,0,2,363593614,995129,541427,1916,374754,0,3,99262,2247447,4303114,3293659,,,-0.03176827642807293,49588,130114,921659,,0.5242259648200961,2807767,2889241,2890305,,,895867,2018-01-01,2018-12-31,0,6221092,5214761,1,1408734,23,5511442,47576,1917978,1921102,5341744,15,47576,15,15,WWW.ACOEM.ORG
0,KEY WEST THEATER & COMMUNITY STAGE INC,false,0,472053122,124450,67308,2014,0,false,0,0,162208,672004,463183,0,211225,-0.41676512617452877,,13127,169342,0,0.7714971551249308,259390,547665,259667,0,0,0,2022-10-01,2023-09-30,,1009116,791238,false,17310,37,709873,99625,337112,328055,501052,10,99625,3,2,N/A
0,KEY WEST THEATER & COMMUNITY STAGE INC,false,0,472053122,127434,72692,2014,0,false,0,0,153517,771607,672004,0,197212,-0.29122167183118286,,18924,147186,0,0.7812266198481724,280756,548200,281080,0,0,0,2021-10-01,2022-09-30,,974458,1009116,false,46560,36,701717,88378,202851,337112,543452,10,88378,3,2,N/A
0,KEY WEST THEATER & COMMUNITY STAGE INC,false,0,472053122,72080,70200,2014,0,false,0,0,122331,753253,771607,0,100043,0.039266108432136855,,116,88161,0,0.7275915666084726,114961,326741,115077,0,0,0,2020-10-01,2021-09-30,,923538,974458,false,252306,39,449072,27963,170285,202851,467426,10,27963,3,2,N/A
0,KEY WEST THEATER & COMMUNITY STAGE INC,false,0,472053122,65853,70000,2014,0,false,0,0,118954,789642,753253,0,115774,-0.09159142908202177,,1762,93606,0,0.7257139958403084,175092,314732,171204,5325,0,0,2019-10-01,2020-09-30,,823699,923538,false,99344,35,433686,60896,34057,170285,397297,10,60896,3,2,N/A
0,KEY WEST THEATER & COMMUNITY STAGE INC,false,0,472053122,20245,74062,2014,0,false,0,0,172690,868985,789642,0,0,-0.1372500177307725,,122,172233,0,0.7373272450162298,462389,484744,355748,20245,0,-156,2018-10-01,2019-09-30,,886835,823699,false,95491,35,657434,106607,17850,34057,578091,10,106607,4,4,N/A
0,CONNECTICUT MUSIC EDUCATORS ASSN INC,0,0,066071077,0,0,1953,0,0,0,22,274504,645923,512137,,,-0.1609982454409142,0,166154,61328,,0.7154703119104776,623699,690260,791643,,1768,,2022-07-01,2023-06-30,0,647144,511937,0,39335,2,964764,0,1221,-200,830978,14,0,10,10,www.cmea.org
,CONNECTICUT MUSIC EDUCATORS ASSOC,false,,066071077,-175,,1953,0,false,,532,175945,735958,683565,,,-0.06888122902455868,,66845,79569,,0.7507077296260297,562496,529833,630471,,423,,2021-07-01,2022-06-30,,737179,684786,false,30000,2,705778,0,1221,1221,660296,,,11,11,WWW.CMEA.ORG
,CONNECTICUT MUSIC EDUCATORS ASSOC,false,,066071077,1393,,1953,0,false,,1469,122096,875260,735958,,,-0.7434479806671958,,79296,72433,,0.6877531813904005,143455,268928,222889,,62,,2020-07-01,2021-06-30,,888172,737179,false,,2,391024,0,12912,1221,224282,,,11,11,WWW.CMEA.ORG
,CONNECTICUT MUSIC EDUCATORS ASSOC,false,,066071077,1849,,1953,0,false,,1849,129478,898576,875260,,,-0.04609811047334397,,83691,68256,,0.7197470151773577,353895,332526,439796,,2210,,2019-07-01,2020-06-30,,905894,888172,false,,2,462004,0,7318,12912,441645,,,11,11,WWW.CMEA.ORG
,CONNECTICUT MUSIC EDUCATORS ASSOC,false,,066071077,3285,,1953,0,false,,3497,109556,870580,898576,,,0.03313140836156897,,86533,48100,,0.8524496329287986,673835,632943,764657,,4077,,2018-07-01,2019-06-30,,882356,905894,false,,3,742499,0,11776,7318,767942,,,11,11,WWW.CMEA.ORG
,CONNECTICUT MUSIC EDUCATORS ASSOC,false,,066071077,5252,,1953,0,false,,5390,106889,813068,870580,,,0.06892401961750336,,86822,43233,,0.8491748918787348,662700,601806,755905,,6245,,2017-07-01,2018-06-30,,822918,882356,false,,1,708695,0,9850,11776,761157,,,5,0,WWW.CMEA.ORG
,CONNECTICUT MUSIC EDUCATORS ASSOC,false,,066071077,2738,52656,1953,0,false,,2857,112754,745711,813068,,,0.061845822102425875,,87496,52656,,0.8704182554951053,831682,757384,924762,,5465,,2016-07-01,2017-06-30,,753686,822918,false,,1,870138,0,7975,9850,927500,,,5,0,WWW.CMEA.ORG
,CONNECTICUT MUSIC EDUCATORS ASSOC,false,,066071077,2329,40975,1953,0,false,,2423,99341,686515,745711,,,0.1224482622021705,,85816,,,0.846949890228402,644523,549734,737314,,6574,307,2015-07-01,2016-06-30,,688156,753686,false,,1,649075,0,1641,7975,739643,,,5,0,WWW.CMEA.ORG
,CONNECTICUT MUSIC EDUCATORS ASSOC,false,,066071077,3960,39000,1953,0,false,,3960,99288,604369,686515,,,0.12639852530786758,,948,39000,,0.8383447629095598,689134,514908,699102,,7024,1996,2014-07-01,2015-06-30,,606010,688156,false,,1,614196,0,1641,1641,703062,,,5,0,WWW.CMEA.ORG
,,false,,066071077,2687,,1953,0,false,,2687,113189,467112,604369,,,0.13656344887059488,,32954,42630,,0.8100030046614216,651188,482552,687278,,2767,369,2013-07-01,2014-06-30,,467112,606010,false,,1,595741,0,,1641,689965,,,5,0,WWW.CMEA.ORG
,,,,066071077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Nebraska Public Media Foundation Inc,false,0,862239027,1189411,0,2021,2048286,false,0,1067780,358068,42025690,44684933,0,0,0.1304735425052586,81811,410610,0,0,0.6771231097674945,0,5046499,490,0,3813,117818,2022-07-01,2023-06-30,551871,43773396,46205899,true,6971142,0,7452853,410120,1747706,1520966,8571163,,410120,8,8,nebraskapublicmedia.org
0,Nebraska Public Media Foundation Inc,false,0,862239027,1112687,0,2021,1851773,false,0,898146,346647,0,42025690,0,0,0.4330832386827835,84645,635705,0,0,0.6777044272723142,0,4622710,9521,0,3675,210866,2021-07-01,2022-06-30,572322,0,43773396,true,10283586,0,6821130,626184,0,1747706,12031978,,626184,8,8,nebraskapublicmedia.org
,Cultural Council of Palm Beach,0,0,591862336,142041,494949,1978,157799,0,3,11652,73402,3704292,3717257,,12745,-0.005240221270060576,55042,127845,834995,,0.959897892705819,18200,5534107,30945,,,2544,2022-10-01,2023-09-30,0,4793143,5124316,1,5562268,26,5765308,0,1088851,1407059,5735254,2,0,16,16,www.palmbeachculture.com
,Cultural Council of Palm Beach,0,0,591862336,92975,478660,1978,185879,0,3,9695,74840,3560084,3704292,,10539,0.04953942607284499,52027,86734,837422,,0.9421577042785759,16510,4246692,27049,,,-3454,2021-10-01,2022-09-30,0,4889768,4793143,1,4622320,23,4507411,0,1329684,1088851,4742344,8,0,16,16,www.palmbeachculture.com
,Cultural Council of Palm Beach,0,0,591862336,64221,468658,1978,206802,0,3,2519,76112,3354403,3560084,-19987,19414,0.04917869727297224,59429,81689,814531,,0.9288559833708776,3590,3693724,23004,,,,2020-10-01,2021-09-30,0,4882612,4889768,1,4095094,25,3976638,0,1528209,1329684,4182319,4,0,18,18,www.palmbeachculture.com
,Cultural Council of Palm Beach County I,0,0,591862336,126687,557382,1978,243657,0,3,7209,83883,3628154,3354403,,14834,-0.08201453936458812,64383,119478,851234,,0.9093085420089678,27155,3284046,41421,,,-568,2019-10-01,2020-09-30,0,4907122,4882612,1,3169727,31,3611586,0,1278968,1528209,3337835,8,0,19,19,www.palmbeachculture.com
,Cultural Council of Palm Beach,0,0,591862336,92412,578012,1978,291050,0,4,5712,82491,4085425,3628154,,14160,-0.11678071364104649,62924,86700,789976,,0.9145783733436941,59621,3999368,73781,,,,2018-10-01,2019-09-30,0,4934686,4907122,1,3749445,31,4372909,0,849261,1278968,3915638,4,0,23,23,www.palmbeachculture.com
,Cultural Council of Palm Beach County I,0,0,591862336,6006,731102,1978,447246,0,3,2477,67489,4389908,4085425,,14522,-0.07490616525690066,80356,102733,735855,,0.8821939321755999,185048,3854607,298774,,,,2017-10-01,2018-09-30,0,5276404,4934686,1,3760079,28,4369342,0,886496,849261,4064859,0,0,17,17,www.palmbeachculture.com
,Cultural Council of Palm Beach County I,0,0,591862336,-9117,553606,1978,300482,0,3,2422,73303,3784134,4389908,-61539,18187,0.13060887087471812,61536,257425,885474,,0.9073023530225779,29920,3658518,255532,,,,2016-10-01,2017-09-30,0,5001265,5276404,1,4391662,25,4032303,0,1217131,886496,4638077,1,0,22,22,www.palmbeachculture.com
,Cultural Council of Palm Beach County,0,0,591862336,1834,329161,1978,465166,0,2,361,65614,3682207,3784134,1473,21071,0.025010225957467377,32908,128731,1016544,,0.8664195620671622,206730,3442706,356532,,,,2015-10-01,2016-09-30,0,5395008,5001265,1,3717047,22,3973486,0,1712801,1217131,4075413,1,0,22,22,www.palmbeachculture.com
,Cultural Council of Palm Beach County Inc,0,0,591862336,-4686,299623,1978,297488,0,2,341,55083,3831670,3682207,-11132,18573,-0.037001708689062655,32368,6105,794043,,0.9158304122619824,109871,3836246,128444,,,,2014-10-01,2015-09-30,0,5233814,5395008,1,3915596,21,4188817,0,1402144,1712801,4039354,1,0,24,24,www.palmbeachculture.com
,,0,0,591862336,113109,184979,1978,404346,0,1,438,53083,3734559,3831670,-4449,23325,0.03566259733115342,17356,117120,836127,,0.8258035795209179,215404,2168509,238729,,,,2013-10-01,2014-09-30,0,5065679,5233814,1,2371211,26,2625938,0,1331120,1402144,2723049,1,0,21,21,www.palmbeachculture.com
,,,,591862336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MUSEUM OF SCIENCE AND HISTORY,0,3,590651090,144197,140000,1964,953363,0,1,114267,485797,14399243,15646917,,188247,0.24014862441562704,4200,,1532453,,0.6734852044438283,2158533,2968481,2344791,42257,,-12327,2022-06-01,2023-05-31,0,14983828,16052300,0,3309685,63,4407641,1989,584585,405383,5800662,167,1989,24,24,WWW.THEMOSH.ORG
,MUSEUM OF SCIENCE AND HISTORY,0,1,590651090,268368,123538,1964,557046,0,1,137690,491861,9177090,14399243,-43445,164509,0.5720435141553787,4290,5516,1309076,,0.7453494229795788,1678325,3070098,1842834,42257,,126350,2021-06-01,2022-05-31,0,9841130,14983828,0,7513620,57,4119005,0,664040,584585,9624822,210,0,24,24,WWW.THEMOSH.ORG
,MUSEUM OF SCIENCE AND HISTORY,0,0,590651090,252483,55433,1964,467703,0,0,122128,341195,8547447,9177090,,68618,0.0582570420616056,4193,61735,1168691,,0.7536025323959098,851749,2474001,886146,,,68620,2020-06-01,2021-05-31,0,9609524,9841130,0,2313132,71,3282899,34221,1062077,664040,3485982,105,34221,20,20,WWW.THEMOSH.ORG
