GainOrLossGrp_1_SecuritiesAmt,GrossAmountSalesAssetsGrp_1_SecuritiesAmt,IncmFromInvestBondProceedsGrp_1_TotalRevenueColumnAmt,InvestmentIncomeGrp_1_TotalRevenueColumnAmt,LessCostOthBasisSalesExpnssGrp_1_SecuritiesAmt,MiscellaneousRevenueGrp_1_TotalRevenueColumnAmt,NetGainOrLossInvestmentsGrp_1_TotalRevenueColumnAmt,NetIncmFromFundraisingEvtGrp_1_TotalRevenueColumnAmt,NetIncomeFromGamingGrp_1_TotalRevenueColumnAmt,NetRentalIncomeOrLossGrp_1_TotalRevenueColumnAmt,OtherRevenueMiscGrp_1_Desc,OtherRevenueMiscGrp_1_TotalRevenueColumnAmt,OtherRevenueMiscGrp_2_Desc,OtherRevenueMiscGrp_2_TotalRevenueColumnAmt,OtherRevenueMiscGrp_3_Desc,OtherRevenueMiscGrp_3_TotalRevenueColumnAmt,ProgramServiceRevenueGrp_1_Desc,ProgramServiceRevenueGrp_1_TotalRevenueColumnAmt,ProgramServiceRevenueGrp_2_Desc,ProgramServiceRevenueGrp_2_TotalRevenueColumnAmt,ProgramServiceRevenueGrp_3_Desc,ProgramServiceRevenueGrp_3_TotalRevenueColumnAmt,ProgramServiceRevenueGrp_4_Desc,ProgramServiceRevenueGrp_4_TotalRevenueColumnAmt,ProgramServiceRevenueGrp_5_Desc,ProgramServiceRevenueGrp_5_TotalRevenueColumnAmt,RentalIncomeOrLossGrp_1_PersonalAmt,RentalIncomeOrLossGrp_1_RealAmt,RoyaltiesRevenueGrp_1_TotalRevenueColumnAmt,business_name,cost_of_goods_sold,ein,fundraising_amt,fundraising_direct_expenses,fundraising_gross_income,government_grants,gross_sales_of_inventory,membership_dues,non_cash_contributions,other_contributions,other_revenue_total,tax_period_begin,tax_period_end,total_contributions,total_program_service_revenue,total_revenue
0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,PERFORMANCE FEES,33083,.,1480,0,0,0,0,0,0,0,0,0,KHMER ARTS ACADEMY,,010740113,1111,,,96842,,,21028,270244,,2015-01-01,2015-12-31,367086,37945,405173
0,0,0,0,0,0,0,0,0,0,RENTALS,4123,CONCESSIONS,3185,0,0,PERFORMANCE FEES,37461,TUITION,1220,0,0,0,0,0,0,0,0,0,KHMER ARTS ACADEMY,,010740113,1188,,,48577,,,25583,133940,7308,2014-01-01,2014-12-31,182517,38681,228506
0,0,0,13,0,0,0,0,0,0,RENTALS,950,CONCESSIONS,731,0,0,PERFORMANCE FEES,175933,TUITION,1243,0,0,0,0,0,0,0,0,0,,,010740113,1370,,,49822,,,,185794,1681,2013-01-01,2013-12-31,235616,177176,414486
0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,Meraki Income,168694,0,0,0,0,0,0,0,0,0,0,0,GRIOT ARTS INC,,451838783,70059,,,25800,,16404,,385027,,2022-08-01,2023-07-31,497290,168694,666060
,,0,279,,0,9851,24780,0,0,0,0,0,0,0,0,MERAKI INCOME,201413,0,0,0,0,0,0,0,0,0,0,0,GRIOT ARTS INC,,451838783,5118,,24780,43150,,1974,,443190,,2021-08-01,2022-07-31,488314,201413,724637
0,0,0,414,0,0,0,39394,0,0,0,0,0,0,0,0,MERAKI INCOME,169392,0,0,0,0,0,0,0,0,0,0,0,GRIOT ARTS INC,,451838783,6490,,39394,51400,,875,,372067,,2020-08-01,2021-07-31,424342,169392,633542
0,0,0,353,0,0,0,34186,0,0,0,0,0,0,0,0,MERAKI INCOME,71672,0,0,0,0,0,0,0,0,0,0,0,GRIOT ARTS INC,,451838783,3222,,34186,135328,,5293,,313436,,2019-08-01,2020-07-31,454057,71672,560268
0,0,0,64,0,0,0,51223,0,0,0,0,0,0,0,0,PROGRAM SERVICE REVENUE,70351,0,0,0,0,0,0,0,0,0,0,0,GRIOT ARTS INC,,451838783,0,4555,55778,44421,,3291,,289730,,2018-08-01,2019-07-31,337442,70351,459080
0,0,0,11569,0,0,0,102468,28690,0,MISCELLANEOUS,404132,0,0,0,0,TICKET SALES,708041,SPONSORSHIPS,178591,PROGRAM ADVERTISING,31165,0,0,0,0,0,0,0,QUAD CITY SYMPHONY ORCHESTRA ASSOCIATION,,426017663,0,0,102468,104893,,,,874659,404132,2022-07-01,2023-06-30,1619727,917797,3084383
0,0,0,6794,0,0,0,26433,13359,0,MISCELLANEOUS,288502,0,0,0,0,TICKET SALES,602584,SPONSORSHIPS,181050,PROGRAM ADVERTISING,38100,0,0,0,0,0,0,0,QUAD CITY SYMPHONY ORCHESTRA ASSOCIATION,,426017663,0,0,26433,865616,,,,992322,288502,2021-07-01,2022-06-30,2266398,821734,3423220
0,0,0,375,0,0,0,56180,0,0,MISCELLANEOUS,181595,0,0,0,0,TICKET SALES,281170,SPONSORSHIPS,169654,PROGRAM ADVERTISING,21269,0,0,0,0,0,0,0,QUAD CITY SYMPHONY ORCHESTRA ASSOCIATION,,426017663,0,18142,74322,270500,,,,989262,181595,2020-07-01,2021-06-30,1825626,472093,2535869
0,0,0,2964,0,0,0,66150,0,0,MISCELLANEOUS,119899,0,0,0,0,TICKET SALES,701748,SPONSORSHIPS,123154,PROGRAM ADVERTISING,40462,0,0,0,0,0,0,0,QUAD CITY SYMPHONY ORCHESTRA ASSOCIATION,,426017663,0,37104,103254,,,,,932930,119899,2019-07-01,2020-06-30,1492736,865364,2547113
0,0,0,1901,0,0,0,17650,0,0,MISCELLANEOUS,142332,0,0,0,0,TICKET SALES,775602,SPONSORSHIPS,157754,PROGRAM ADVERTISING,32950,0,0,0,0,0,0,0,QUAD CITY SYMPHONY ORCHESTRA ASSOCIATION,,426017663,0,9110,26760,,,,62556,902355,142332,2018-07-01,2019-06-30,1364149,966306,2492338
0,0,0,755,0,0,0,22246,0,0,MISCELLANEOUS,146145,0,0,0,0,TICKET SALES,795460,SPONSORSHIPS,188354,PROGRAM ADVERTISING,29075,0,0,0,0,0,0,0,QUAD CITY SYMPHONY ORCHESTRA ASSOCIATION,,426017663,0,18151,40397,,,,39737,949716,146145,2017-07-01,2018-06-30,1459184,1012889,2641219
0,0,0,540,0,0,0,14872,0,0,MISCELLANEOUS,150014,0,0,0,0,TICKET SALES,535739,SPONSORSHIPS,148954,PROGRAM ADVERTISING,35400,0,0,0,0,0,0,0,QUAD CITY SYMPHONY ORCHESTRA ASSOCIATION,,426017663,0,6438,21310,,,,23153,741584,150014,2016-07-01,2017-06-30,1173162,720093,2058681
0,0,0,1399,0,0,0,25044,0,0,MISCELLANEOUS,138037,0,0,0,0,TICKET SALES,583266,SPONSORSHIPS,165812,PROGRAM ADVERTISING,35380,0,0,0,0,0,0,0,QUAD CITY SYMPHONY ORCHESTRA ASSOCIATION,,426017663,0,6642,31686,,,,34891,781788,138037,2015-07-01,2016-06-30,1227343,784458,2176281
0,0,0,1109,0,0,0,127682,0,0,MISCELLANEOUS,85770,0,0,0,0,TICKET SALES,715000,SPONSORSHIPS,359562,PROGRAM ADVERTISING,38653,0,0,0,0,0,0,0,QUAD CITY SYMPHONY ORCHESTRA ASSOCIATION,,426017663,13892,120118,247800,,,,29453,758541,85770,2014-07-01,2015-06-30,1069529,1113215,2397305
0,0,0,640,0,0,0,67175,0,0,MISCELLANEOUS,87680,0,0,0,0,TICKET SALES,521955,CONCERTS AND EVENTS,221938,SPECIAL EVENTS,79381,SPONSORSHIP ADVERTISIN,31826,SALES OF MERCHANDISE,2542,0,0,0,,,426017663,9924,44473,111648,,,,37039,534758,87680,2013-07-01,2014-06-30,814701,857642,1827838
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,426017663,,,,,,,,,,,,,,
21065,216465,0,15789,195400,0,21065,0,0,-88863,0,0,0,0,0,0,ADMISSIONS AND FEES,204355,0,0,0,0,0,0,0,0,,-88863,0,INTERNATIONAL PRINTING MUSEUM FOUNDATION,,330593200,0,,,,,,,400210,,2023-01-01,2023-12-31,400210,204355,552556
-31226,139538,0,12482,170764,0,-31226,0,0,151427,0,0,0,0,0,0,ADMISSIONS AND FEES,162186,0,0,0,0,0,0,0,0,157475,-6048,0,INTERNATIONAL PRINTING MUSEUM FOUNDATION,,330593200,0,,,,,,595000,959860,,2022-01-01,2022-12-31,959860,162186,1254729
34253,385667,0,10456,351414,0,42288,0,0,84782,0,0,0,0,0,0,ADMISSIONS AND FEES,121496,0,0,0,0,0,0,0,0,104693,-19911,0,INTERNATIONAL PRINTING MUSEUM FOUNDATION,,330593200,0,,,,,,,435397,,2021-01-01,2021-12-31,435397,121496,694419
60609,114788,0,7922,54179,0,65064,0,0,6177,0,0,0,0,0,0,ADMISSIONS AND FEES,72365,0,0,0,0,0,0,0,0,,6177,0,INTERNATIONAL PRINTING MUSEUM FOUNDATION,,330593200,0,,,,,,,550554,,2020-01-01,2020-12-31,550554,72365,702082
12634,237713,0,8028,225079,0,43568,0,0,65599,0,0,0,0,0,0,ADMISSIONS AND FEES,210896,0,0,0,0,0,0,0,0,,65599,0,INTERNATIONAL PRINTING MUSEUM FOUNDATION,,330593200,0,,,,,,,209964,,2019-01-01,2019-12-31,209964,210896,538055
17909,88484,0,6058,70575,0,18574,0,0,30043,0,0,0,0,0,0,ADMISSIONS AND FEES,219651,0,0,0,0,0,0,0,0,,30043,0,INTERNATIONAL PRINTING MUSEUM FOUNDATION,,330593200,0,,,,,,,336128,,2017-03-01,2018-02-28,336128,219651,610454
16504,65000,0,6937,48496,0,46104,0,0,-10157,0,0,0,0,0,0,ADMISSIONS AND FEES,174643,0,0,0,0,0,0,0,0,,-10157,0,INTERNATIONAL PRINTING MUSEUM FOUNDATION,,330593200,0,,,,,,,196475,,2016-03-01,2017-02-28,196475,174643,414002
,,0,4978,,0,7727,0,0,-27562,0,0,0,0,0,0,ADMISSIONS AND FEES,173566,0,0,0,0,0,0,0,0,,-27562,0,INTERNATIONAL PRINTING MUSEUM FOUNDATION,,330593200,0,,,,,,5052,409893,,2015-03-01,2016-02-29,409893,173566,568602
21717,50000,0,2854,28283,0,36742,0,0,-26899,0,0,0,0,0,0,ADMISSIONS AND FEES,172504,0,0,0,0,0,0,0,0,,-26899,0,INTERNATIONAL PRINTING MUSEUM FOUNDATION,,330593200,0,,,,,,,269114,,2014-03-01,2015-02-28,269114,172504,454315
9681,60000,0,3895,50319,0,26190,0,0,-29529,0,0,0,0,0,0,ADMISSIONS AND FEES,188624,0,0,0,0,0,0,0,0,,-29529,0,,,330593200,0,,,,,,,205232,,2013-03-01,2014-02-28,205232,188624,394412
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,330593200,,,,,,,,,,,,,,
0,0,0,5400,0,0,0,1213574,0,0,OTHER INCOME,13465,0,0,0,0,PROGRAM SERVICE REVENUE,48906,0,0,0,0,0,0,0,0,0,0,0,WACO THEATER CENTER,,812917440,31628,2876057,4089631,298141,,,,287394,13465,2022-07-01,2023-06-30,585535,48906,1866880
0,0,0,0,0,0,0,0,0,0,OTHER INCOME,9460,0,0,0,0,PROGRAM SERVICE FEES,150592,0,0,0,0,0,0,0,0,0,0,0,WACO THEATER CENTER,,812917440,36439,,,25000,,,,4317126,9460,2021-07-01,2022-06-30,4342126,150592,4502178
0,0,0,49,0,0,0,101893,0,0,OTHER INCOME,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WACO THEATER CENTER,,812917440,64338,9641,111534,94667,,,,2912623,3000,2020-07-01,2021-06-30,3007290,,3112232
0,0,0,1968,0,0,0,0,0,46380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,46380,0,WACO THEATER CENTER,,812917440,62500,,,,,,,2441512,,2019-07-01,2020-06-30,2441512,,2489860
0,0,0,0,0,0,0,0,0,26053,0,0,0,0,0,0,TICKET SALES,78240,MERCHANDISE SALES,1500,0,0,0,0,0,0,,26053,0,WACO THEATER CENTER,,812917440,1455147,1070438,1070438,,,,,85285,,2018-07-01,2019-06-30,1540432,79740,1646225
0,0,0,0,0,0,0,0,0,8050,0,0,0,0,0,0,TICKET SALES,45155,MERCHANDISE SALES,3501,0,0,0,0,0,0,,8050,0,WACO THEATER CENTER,,812917440,852163,502125,502125,,,,491000,559075,,2017-07-01,2018-06-30,1411238,48656,1467944
0,0,0,0,0,0,0,0,0,0,MISCELLANEOUS,8595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WACO THEATER CENTER,,812917440,739488,201022,201022,,,,,25001,8595,2016-07-01,2017-06-30,764489,,773084
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ART EDUCATION PROGRAM,1113237,0,0,0,0,0,0,0,0,0,0,0,TERRA CLASSICAL THEATER INC,,453653198,14084,,,,,,,,0,2021-06-01,2022-05-31,0,1113237,1113237
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ART EDUCATION PROGRAM,548563,0,0,0,0,0,0,0,0,0,0,0,TERRA CLASSICAL THEATER INC,,453653198,1270,,,,,,,116560,,2020-06-01,2021-05-31,116560,548563,665123
0,0,0,0,0,0,0,0,0,0,CARE ACT SUPPORT (PPP),153457,0,0,0,0,ART EDUCATION PROGRAM,418931,0,0,0,0,0,0,0,0,0,0,0,TERRA CLASSICAL THEATER INC,,453653198,6004,,,,,,,137638,153457,2019-06-01,2020-05-31,137638,418931,710026
0,0,0,14741,0,0,0,3204,0,2194,0,0,0,0,0,0,ADMISSIONS & FEES,3391283,0,0,0,0,0,0,0,0,2194,,0,LAMBS PLAYERS THEATRE,1227,330592567,23365,2911,6115,100501,2116,,20000,607912,0,2023-01-01,2023-12-31,708413,3391283,4120724
0,0,0,3347,0,0,0,2550,0,-191,0,0,0,0,0,0,ADMISSIONS & FEES,2730630,OTHER REVENUE,5000,0,0,0,0,0,0,-191,,0,LAMBS PLAYERS THEATRE,1218,330592567,25096,505,3055,767083,1559,,26517,669956,0,2022-01-01,2022-12-31,1437039,2735630,4178716
0,0,0,1489,0,0,0,1256,0,937,0,0,0,0,0,0,ADMISSIONS & FEES,586752,OTHER REVENUE,30000,0,0,0,0,0,0,937,,0,LAMBS PLAYERS THEATRE,8809,330592567,34353,1268,2524,1806834,6603,,30483,916147,0,2021-01-01,2021-12-31,2758556,616752,3376784
0,0,0,989,0,0,0,5359,0,7574,0,0,0,0,0,0,ADMISSIONS & FEES,440261,0,0,0,0,0,0,0,0,7574,,0,LAMBS PLAYERS THEATRE,87392,330592567,25324,1150,6509,465818,37528,,,1026838,0,2020-01-01,2020-12-31,1520136,440261,1924455
0,0,0,897,0,0,0,35904,0,10559,0,0,0,0,0,0,ADMISSIONS & FEES,2423945,EDUCATION/OUTREACH,5865,OUTSIDE SALES,387543,0,0,0,0,10559,,0,LAMBS PLAYERS THEATRE,212881,330592567,17393,2034,37938,116519,151509,,,546023,0,2019-01-01,2019-12-31,662542,2817353,3465883
0,0,0,677,0,0,0,38779,0,17989,0,0,0,0,0,0,EDUCATIONAL/OUTREACH/TOUR,9260,OUTSIDE PRODUCTION,453383,RESIDENT THEATRE,2349218,0,0,0,0,17989,,0,LAMBS PLAYERS THEATRE,220217,330592567,50400,16019,54798,54000,172079,,,596083,0,2018-01-01,2018-12-31,650083,2811861,3471251
0,0,0,781,0,0,0,45630,0,6558,0,0,0,0,0,0,OUTSIDE PRODUCTION,607460,RESIDENT THEATRE,2223713,TUITION,4290,0,0,0,0,6558,,0,LAMBS PLAYERS THEATRE,183919,330592567,48000,18614,64244,104000,111900,,,555704,0,2017-01-01,2017-12-31,659704,2835463,3476117
,0,0,751,,0,-19814,39177,0,15743,0,0,0,0,0,0,EDUCATIONAL OUTREACH,2344,OUTSIDE PRODUCTION,778304,RESIDENT THEATRE,2201525,TUITION,7605,0,0,15743,,259,LAMBS PLAYERS THEATRE,180703,330592567,36112,9077,48254,103500,112204,,,552832,0,2016-01-01,2016-12-31,656332,2989778,3613727
0,0,0,646,0,0,0,2813,0,11192,0,0,0,0,0,0,EDUCATIONAL OUTREACH,6515,OUTSIDE PRODUCTION,1263255,RESIDENT THEATRE,1995242,TUITION,7508,0,0,11192,,300,LAMBS PLAYERS THEATRE,212078,330592567,34928,15180,17993,102985,167334,,,625265,0,2015-01-01,2015-12-31,728250,3272520,3970977
0,0,0,643,0,0,0,0,0,10680,ROYALTIES,980,0,0,0,0,EDUCATIONAL OUTREACH,25387,OUTSIDE PRODUCTION,1472824,RESIDENT THEATRE,1941839,TUITION,5760,0,0,10680,,0,LAMBS PLAYERS THEATRE,210601,330592567,29760,,,108985,146828,,,877128,980,2014-01-01,2014-12-31,986113,3445810,4380453
,,0,520,,0,544138,0,0,10975,ROYALTIES,1268,0,0,0,0,EDUCATIONAL OUTREACH,3140,OUTSIDE PRODUCTION,1345172,RESIDENT THEATRE,1998736,TUITION,15605,0,0,10975,,0,,186266,330592567,29264,,,94985,158873,,,702891,1268,2013-01-01,2013-12-31,797876,3362653,4690037
,,0,2702,0,0,320473,0,0,0,0,0,0,0,0,0,TOURS,63595,LODGING,44789,0,0,0,0,0,0,0,0,74,SOCIETY FOR THE PRESERVATION OF THE,11792,382997645,1100,,,,19804,7130,,49587,,2023-01-01,2023-12-31,57817,108384,497462
0,0,0,14,0,0,0,2263,0,0,0,0,0,0,0,0,TOURS,61673,LODGING,24964,RENTALS,17597,0,0,0,0,0,0,0,SOCIETY FOR THE PRESERVATION OF THE,13628,382997645,205,,2263,,14142,10950,,156331,,2022-01-01,2022-12-31,167281,104234,274306
0,0,0,11,0,0,0,1320,0,0,LIABILITY ADJUSTMENT,-30104,0,0,0,0,TOURS,70089,LODGING,19260,RENTALS,16455,0,0,0,0,0,0,0,SOCIETY FOR THE PRESERVATION OF THE,8325,382997645,683,,1320,1145,15759,16110,,29799,-30104,2021-01-01,2021-12-31,47054,105804,131519
0,0,0,174,0,0,0,1145,0,0,LIABILITY ADJUSTMENT,78529,SCRAP SALES,2659,0,0,TOURS,40381,LODGING,13166,RENTALS,7475,0,0,0,0,0,0,0,SOCIETY FOR THE PRESERVATION OF THE,94,382997645,0,,1145,3500,3627,11220,,14313,81188,2020-01-01,2020-12-31,29033,61022,176095
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INTERNATIONAL DISTRICT COMMUNITY,,934153622,0,,,,,,,500195,,2023-02-22,2023-12-31,500195,,500195
34200,3555516,0,57775,3521316,1392,-459642,3929,0,27549,PY GIFT CARD BREAKAGE,31712,GIFT CARD BREAKAGE REVENUE,10197,HISTORICAL PRESENTATION NIGHT,4611,THUNDER 2023,676314,WINGS OVER MUSKEGON - INCOME,517757,FLYABLE AIRCRAFT - B-17 - FLE,350016,HUEY RIDES,255290,FLYABLE AIRCRAFT - B-25 - FLE,125405,,27549,0,YANKEE AIR FORCE INC,126196,382387453,7130,70297,74226,22000,235124,105716,20356,764809,47912,2023-01-01,2023-12-31,892525,2332117,3011093
-70932,1836864,0,52283,1907796,-955,-43767,17559,0,14880,"EVENTS - UNSCHEDULED EVENTS,",8572,HISTORICAL PRESENTATION NIGHT,5771,SPEAKER'S BUREAU: WILLOW RUN,820,THUNDER 2022,802362,FLYABLE AIRCRAFT - B-17 - FLE,715273,HUEY RIDES,198586,FLYABLE AIRCRAFT - B-17 - AIR,111544,MUSEUM - VISITOR ADMISSIONS,81125,,14880,0,YANKEE AIR FORCE INC,117627,382387453,13476,55396,72955,32268,204972,126152,48607,1079769,14208,2022-01-01,2022-12-31,1238189,2185540,3566237
412488,2158021,0,56928,1745533,0,-5713945,54209,0,0,MISCELLANEOUS,55954,0,0,0,0,AIRCRAFT REVENUE,1177129,THUNDER OVER MICHIGAN,994132,ADMISSIONS,85010,FORD FOCUS ON FREEDOM,80000,BOMBER PLANT RENTAL,30000,0,0,0,YANKEE AIR FORCE INC,104615,382387453,14959,5920,60129,22466,203572,144873,40443,1394990,55954,2021-01-01,2021-12-31,1562329,2366271,-1519297
105327,2997100,0,77876,2891773,0,249494,18327,0,0,MISCELLANEOUS,98605,0,0,0,0,AIRCRAFT REVENUE,399469,"EVENTS - UNSCHEDULED EVENTS,",80000,ADMISSIONS,32462,0,0,0,0,0,0,0,YANKEE AIR FORCE INC,36642,382387453,12259,18002,36329,43000,77397,129922,6193,730766,98605,2020-01-01,2020-12-31,903688,511931,1900676
350267,3472327,0,85054,3122060,0,354887,18966,0,0,MISCELLANEOUS,23771,0,0,0,0,AIRCRAFT REVENUE,903203,THUNDER OVER MICHIGAN,766671,ADMISSIONS,87228,"EVENTS - UNSCHEDULED EVENTS,",70000,0,0,0,0,0,YANKEE AIR FORCE INC,105651,382387453,59710,83785,102751,25500,179655,128028,69603,733565,23771,2019-01-01,2019-12-31,887093,1827102,3270877
765721,2589666,0,38995,1823945,0,816523,99004,0,0,MISCELLANEOUS,142971,0,0,0,0,AIRCRAFT REVENUE,840323,THUNDER OVER MICHIGAN,798651,ADMISSIONS,70704,0,0,0,0,0,0,0,YANKEE AIR FORCE INC,94091,382387453,9167,,99004,,154964,73812,,1684578,142971,2018-01-01,2018-12-31,1758390,1709678,4626434
118671,1164942,0,39604,1046271,0,118671,32239,0,0,MISCELLANEOUS,107748,0,0,0,0,THUNDER OVER MICHIGAN,1233549,AIRCRAFT REVENUE,941182,ADMISSIONS,69941,FLYABLE AIRCRAFT - B-25 - AIR,16500,0,0,0,0,0,YANKEE AIR FORCE INC,85318,382387453,9167,106435,138674,,165020,96327,58852,445032,107748,2017-01-01,2017-12-31,541359,2261172,3180495
82612,1248986,0,13610,1166374,0,82612,6079,0,0,MISCELLANEOUS,49143,0,0,0,0,THUNDER OVER MICHIGAN,719655,AIRCRAFT REVENUES,658873,ADMISSIONS,59134,0,0,0,0,0,0,0,YANKEE AIR FORCE INC,56205,382387453,1762,7346,13425,,90441,89362,58855,219388,49143,2016-01-01,2016-12-31,308750,1437662,1932092
-5839,2208502,0,16615,2214341,0,-5395,27286,0,0,MISCELLANEOUS,47119,0,0,0,0,THUNDER OVER MICHIGAN,1026044,AIRCRAFT REVENUES,897460,ADMISSIONS,40882,THUNDER OVER UTAH,200,0,0,0,0,0,YANKEE AIR FORCE INC,80680,382387453,1529,70630,97916,,111817,63948,84333,259132,47119,2015-01-01,2015-12-31,323080,1964586,2404428
