GainOrLossGrp_1_SecuritiesAmt,GrossAmountSalesAssetsGrp_1_SecuritiesAmt,IncmFromInvestBondProceedsGrp_1_TotalRevenueColumnAmt,InvestmentIncomeGrp_1_TotalRevenueColumnAmt,LessCostOthBasisSalesExpnssGrp_1_SecuritiesAmt,MiscellaneousRevenueGrp_1_TotalRevenueColumnAmt,NetGainOrLossInvestmentsGrp_1_TotalRevenueColumnAmt,NetIncmFromFundraisingEvtGrp_1_TotalRevenueColumnAmt,NetIncomeFromGamingGrp_1_TotalRevenueColumnAmt,NetRentalIncomeOrLossGrp_1_TotalRevenueColumnAmt,OtherRevenueMiscGrp_1_Desc,OtherRevenueMiscGrp_1_TotalRevenueColumnAmt,OtherRevenueMiscGrp_2_Desc,OtherRevenueMiscGrp_2_TotalRevenueColumnAmt,OtherRevenueMiscGrp_3_Desc,OtherRevenueMiscGrp_3_TotalRevenueColumnAmt,ProgramServiceRevenueGrp_1_Desc,ProgramServiceRevenueGrp_1_TotalRevenueColumnAmt,ProgramServiceRevenueGrp_2_Desc,ProgramServiceRevenueGrp_2_TotalRevenueColumnAmt,ProgramServiceRevenueGrp_3_Desc,ProgramServiceRevenueGrp_3_TotalRevenueColumnAmt,ProgramServiceRevenueGrp_4_Desc,ProgramServiceRevenueGrp_4_TotalRevenueColumnAmt,ProgramServiceRevenueGrp_5_Desc,ProgramServiceRevenueGrp_5_TotalRevenueColumnAmt,RentalIncomeOrLossGrp_1_PersonalAmt,RentalIncomeOrLossGrp_1_RealAmt,RoyaltiesRevenueGrp_1_TotalRevenueColumnAmt,business_name,cost_of_goods_sold,ein,fundraising_amt,fundraising_direct_expenses,fundraising_gross_income,government_grants,gross_sales_of_inventory,membership_dues,non_cash_contributions,other_contributions,other_revenue_total,tax_period_begin,tax_period_end,total_contributions,total_program_service_revenue,total_revenue
0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,PERFORMANCE REVENUE,180968,"RENTAL - COSTUMES, PROPS",167800,SALE OF ASSET,11980,OTHER,3453,0,0,0,0,0,BROADWAY OC INC,,453628815,0,,,331623,,,,118580,,2021-01-01,2021-12-31,450203,364201,814476
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PERFORMANCE REVENUE,425484,OTHER PROGRAM REVENUE,26213,0,0,0,0,0,0,0,0,0,BROADWAY OC INC,,453628815,0,,,,,,,600738,,2020-01-01,2020-12-31,600738,451697,1052435
0,0,0,6596,0,0,0,7296,0,0,0,0,0,0,0,0,TUITION,274702,TOUR INCOME,270507,PERFORMANCE FEES,98547,WORKSHOP,14850,UNIFORMS,4276,0,0,0,COMMONWEALTH YOUTHCHOIRS INC,,233074341,26050,19505,26801,3271,,,16016,313830,,2022-09-01,2023-08-31,343151,662882,1019925
0,0,0,532,0,0,0,55319,0,0,0,0,0,0,0,0,TOUR INCOME,503561,TUITION,255547,PERFORMANCE FEES,69872,WORKSHOP,18400,UNIFORMS,4355,0,0,0,COMMONWEALTH YOUTHCHOIRS INC,,233074341,50797,19684,75003,,,,,517573,,2021-09-01,2022-08-31,517573,851735,1425159
,,0,33,,0,-246,57995,0,0,0,0,0,0,0,0,TUITION,213642,PERFORMANCE FEES,14272,UNIFORMS,8475,0,0,0,0,0,0,0,COMMONWEALTH YOUTHCHOIRS INC,,233074341,4500,8804,66799,98705,,,,322540,,2020-09-01,2021-08-31,421245,236389,715416
0,0,0,1646,0,0,0,39624,0,0,0,0,0,0,0,0,TUITION,363197,TOUR INCOME,190719,PERFORMANCE FEES,142045,UNIFORMS,6867,0,0,0,0,0,COMMONWEALTH YOUTHCHOIRS INC,,233074341,14801,23108,62732,125470,,,,402638,,2019-09-01,2020-08-31,528108,702828,1272206
0,0,0,2600,0,0,0,106919,0,0,0,0,0,0,0,0,TOUR INCOME,447694,TUITION,391205,PERFORMANCE FEES,194762,UNIFORMS,8632,RECORDINGS,220,0,0,0,COMMONWEALTH YOUTHCHOIRS INC,,233074341,14144,28652,135571,9470,,,,427613,,2018-09-01,2019-08-31,437083,1042513,1589115
0,0,0,2525,0,0,0,35459,0,0,0,0,0,0,0,0,TOUR INCOME,598827,TUITION,344956,PERFORMANCE FEES,118205,UNIFORMS,11611,RECORDINGS,439,0,0,0,COMMONWEALTH YOUTHCHOIRS INC,,233074341,22699,55676,91135,38932,,,,286846,,2017-09-01,2018-08-31,325778,1074038,1437800
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,233074341,,,,,,,,,,,,,,
,0,0,18353,,0,-20000,0,0,0,OTHER INCOME,23891,0,0,0,0,EXCURSIONS AND TOURS,1389239,0,0,0,0,0,0,0,0,0,0,0,MICHIGAN STATE TRUST FOR RAILWAY PR,22083,382311833,0,,,,42245,25940,,122804,23891,2023-01-01,2023-12-31,148744,1389239,1580389
,,0,194,,0,-8999,0,0,0,OTHER INCOME,9165,0,0,0,0,EXCURSIONS AND TOURS,1202049,0,0,0,0,0,0,0,0,0,0,0,MICHIGAN STATE TRUST FOR RAILWAY PR,34722,382311833,0,,,165977,49209,23855,,81547,9165,2022-01-01,2022-12-31,271379,1202049,1488275
0,0,0,117,0,0,0,0,0,0,OTHER INCOME,2493,0,0,0,0,EXCURSIONS AND TOURS,1067219,0,0,0,0,0,0,0,0,0,0,0,MICHIGAN STATE TRUST FOR RAILWAY PR,13531,382311833,0,,,1116363,38188,17193,2795,68310,2493,2021-01-01,2021-12-31,1201866,1067219,2296352
0,0,0,32,0,0,0,0,0,0,OTHER INCOME,2980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MICHIGAN STATE TRUST FOR RAILWAY PR,,382311833,0,,,54037,19,7965,,53250,2980,2020-01-01,2020-12-31,115252,,118283
3206,3206,0,2407,0,0,3206,0,0,25500,MISCELLANEOUS,14154,0,0,0,0,"EXCURSIONS, TOURS, ETC",1762916,0,0,0,0,0,0,0,0,,25500,0,MICHIGAN STATE TRUST FOR,41637,382311833,0,,,,89190,11215,,95971,14154,2019-01-01,2019-12-31,107186,1762916,1962922
-2507,,0,1398,2507,0,72493,150,0,2940,MISCELLANEOUS,3240,0,0,0,0,"EXCURSIONS, TOURS, ETC",1807189,0,0,0,0,0,0,0,0,,2940,0,MICHIGAN STATE TRUST FOR,38013,382311833,0,,150,,73497,10496,,37276,3240,2018-01-01,2018-12-31,47772,1807189,1970666
1935,1935,0,1110,,0,-8065,1247,0,9440,MISCELLANEOUS,27288,SCRAP,2865,0,0,"EXCURSIONS, TOURS, ETC",1475898,0,0,0,0,0,0,0,0,,9440,0,MICHIGAN STATE TRUST FOR,37309,382311833,0,,1247,,67008,13899,,36560,30153,2017-01-01,2017-12-31,50459,1475898,1589941
788,1961,0,1945,1173,0,788,6843,0,13115,MISCELLANEOUS,10370,SCRAP,532,0,0,"EXCURSIONS, TOURS, ETC",1374209,0,0,0,0,0,0,0,0,,13115,0,MICHIGAN STATE TRUST FOR,30016,382311833,355,,6843,,89211,14520,,24037,10902,2016-01-01,2016-12-31,38557,1374209,1505554
-1237,834,0,1911,2071,0,-1237,205572,0,6462,SCRAP,1480,MISCELLANEOUS,1372,0,0,"EXCURSIONS, TOURS, ETC",977977,0,0,0,0,0,0,0,0,,6462,0,MICHIGAN STATE TRUST FOR,43282,382311833,7988,,205572,9539,81958,18260,,32212,2852,2015-01-01,2015-12-31,60011,977977,1292224
7,7,0,491,0,141,7,122699,0,39500,INSURANCE REFUND,10530,GIFT CERTIFICATES,630,SCRAP,509,"EXCURSIONS, TOURS, ETC",813479,2014 TRAIN EXPO,384805,0,0,0,0,0,0,,39500,0,MICHIGAN STATE TRUST FOR,42888,382311833,3767,,122699,35901,85980,19380,,99101,11810,2014-01-01,2014-12-31,154382,1198284,1570265
0,0,0,1773,0,0,0,8503,0,9165,MISCELLANEOUS,4988,SCRAP,3272,REALIZED GAIN (LOSS),2080,"EXCURSIONS, TOURS, ETC",711882,0,0,0,0,0,0,0,0,,9165,0,,37218,382311833,1464,0,8503,102616,63906,20745,,261002,10340,2013-01-01,2013-12-31,384363,711882,1152714
442019,3959570,0,95323,3517551,0,442019,-35281,0,0,OTHER REVENUE,12704,0,0,0,0,CONCERT TICKET SALES,485772,OUTSIDE CONCERTS,3700,0,0,0,0,0,0,0,0,975,THE LOS ANGELES CHAMBER ORCHESTRA,,237010825,470482,185203,149922,443753,,,,4011676,12704,2022-07-01,2023-06-30,4925911,489472,5931123
46247,46247,0,245886,0,0,46247,-90441,0,0,OTHER REVENUE,11282,0,0,0,0,CONCERT TICKET SALES,446263,OUTSIDE CONCERTS,104370,0,0,0,0,0,0,0,0,2235,THE LOS ANGELES CHAMBER ORCHESTRA,,237010825,457585,265516,175075,1338964,,,,3092617,11282,2021-07-01,2022-06-30,4889166,550633,5655008
102165,179618,0,36295,77453,0,102165,218586,0,0,0,0,0,0,0,0,CONCERT TICKET SALES,4496,0,0,0,0,0,0,0,0,0,0,1981,THE LOS ANGELES CHAMBER ORCHESTRA,1665,237010825,45009,62706,281292,252809,1478,,72396,2828922,,2020-07-01,2021-06-30,3126740,4496,3490076
53884,255246,0,43886,201362,0,53884,0,0,0,0,0,0,0,0,0,CONCERT TICKET SALES,422404,OUTSIDE CONCERTS - CON,44396,TICKET HANDLING,14065,0,0,0,0,0,0,0,THE LOS ANGELES CHAMBER ORCHESTRA,3251,237010825,49507,,,546850,2269,,138156,2915874,,2019-07-01,2020-06-30,3489286,480865,4066939
106418,921612,0,45599,815194,0,106418,-108383,0,0,MISCELLANEOUS,8093,0,0,0,0,CONCERT TICKET SALES,907988,OUTSIDE CONCERTS - CON,65020,TICKET HANDLING,33910,0,0,0,0,0,0,522,THE LOS ANGELES CHAMBER ORCHESTRA,4023,237010825,504381,263693,155310,96498,5544,,604414,2889177,8093,2018-07-01,2019-06-30,3490056,1006918,4550744
68339,349302,0,45335,280963,0,68339,-361975,0,0,MISCELLANEOUS,2126,0,0,0,0,CONCERT TICKET SALES,909377,OUTSIDE CONCERTS - CONTRACTED SER,174750,TICKET HANDLING,27115,0,0,0,0,0,0,0,THE LOS ANGELES CHAMBER ORCHESTRA,1042,237010825,805796,490890,128915,,1608,,314662,2869731,2126,2017-07-01,2018-06-30,3675527,1111242,4541160
87979,744754,0,49473,656775,0,87979,-157301,0,0,Miscellaneous,16529,0,0,0,0,Ticket Sales,1098338,Outside Concerts - Con,56051,Ticket Handling,27295,0,0,0,0,0,0,0,The Los Angeles Chamber Orchestra,1305,237010825,602009,232021,74720,78300,2291,,344022,3495888,16529,2016-07-01,2017-06-30,4176197,1181684,5355547
39392,435670,0,69076,396278,0,39392,0,0,0,MISCELLANEOUS,6603,0,0,0,0,TICKET SALES,845202,TICKET HANDLING CHARGE,22302,0,0,0,0,0,0,0,0,0,THE LOS ANGELES CHAMBER ORCHESTRA,1338,237010825,279332,453953,453953,73560,898,,51941,2727652,6603,2015-07-01,2016-06-30,3080544,867504,4062679
132618,453662,0,75617,321044,0,132618,0,0,0,MISCELLANEOUS,2225,0,0,0,0,TICKET SALES,893293,PERFORMANCE FEES,135065,TICKET HANDLING CHARGE,29034,0,0,0,0,0,0,395,THE LOS ANGELES CHAMBER ORCHESTRA SOCIETY INC,2177,237010825,372106,488480,488480,120800,2697,,31745,1721275,2225,2014-07-01,2015-06-30,2214181,1057392,3482948
73946,722894,0,72527,648948,0,73946,4696,0,0,MISCELLANEOUS,2100,0,0,0,0,TICKET SALES,843516,TICKET HANDLING CHARGE,27287,PERFORMANCE FEES,16250,0,0,0,0,0,0,4700,,3033,237010825,587345,485050,489746,69800,4889,,115583,1373306,2100,2013-07-01,2014-06-30,2030451,887053,3077329
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,237010825,,,,,,,,,,,,,,
-10,20076,0,82092,20086,0,-78594,-3281,0,17305,WRITE OFF OF VOIDED CH,78435,MISCELLANEOUS INCOME,7825,0,0,TICKET AND SUBSCRIPTIO,2049046,DRAMA SCHOOL TUITION,29710,COSTUME AND PROP RENTA,7139,0,0,0,0,,17305,5,ARDEN THEATRE COMPANY,38439,232521993,7767,9418,6137,5000,87879,,10434,3391268,86260,2022-07-01,2023-06-30,3404035,2085895,5643157
0,620052,0,31501,620052,0,0,-77512,0,2830,EMPLOYEE RETENTION CRE,86121,MISCELLANEOUS,21084,0,0,TICKET SALES,991782,0,0,0,0,0,0,0,0,,2830,0,ARDEN THEATRE COMPANY,,232521993,230760,107332,29820,2104473,,,,1800166,107205,2021-07-01,2022-06-30,4135399,991782,5191205
194307,1086168,0,28884,891861,0,194307,0,0,-37266,EMPLOYEE RETENTION CREDIT,260836,MISCELLANEOUS,34364,0,0,DRAMA SCHOOL,4651,TICKET SALES,3655,0,0,0,0,0,0,,-37266,20,ARDEN THEATRE COMPANY,,232521993,27395,,,877613,,,,2120540,295200,2020-07-01,2021-06-30,2998153,8306,3487604
19184,569740,0,48251,550556,0,19184,0,0,5560,MISCELLANEOUS,20032,0,0,0,0,TICKET SALES,1795867,DRAMA SCHOOL,322770,CONCESSIONS,65746,0,0,0,0,,5560,0,ARDEN THEATRE COMPANY,,232521993,34423,,,80504,,,27835,2294171,20032,2019-07-01,2020-06-30,2374675,2184383,4652085
-407,0,0,49247,407,0,-407,-662,0,1179,MISCELLANEOUS,16889,0,0,0,0,TICKET SALES,2832243,DRAMA SCHOOL,339259,CONCESSIONS,124311,0,0,0,0,,1179,7,ARDEN THEATRE COMPANY,,232521993,43739,24214,23552,64882,,,15394,2449349,16889,2018-07-01,2019-06-30,2557970,3295813,5920036
-512,301234,0,27352,301746,0,-512,-3295,0,7312,MISCELLANEOUS,71045,0,0,0,0,TICKET SALES,2734974,DRAMA SCHOOL,347291,CONCESSIONS,95543,0,0,0,0,,7312,43,ARDEN THEATRE COMPANY,,232521993,192561,113850,110555,68234,,,22888,2537279,71045,2017-07-01,2018-06-30,2798074,3177808,6077827
249,96670,0,39799,96421,0,249,14794,0,58090,MISCELLANEOUS,36169,0,0,0,0,TICKET SALES,2446746,DRAMA SCHOOL,334239,CONCESSIONS,88769,0,0,0,0,,58090,686,ARDEN THEATRE COMPANY,,232521993,1750,8416,23210,57961,,,114937,1629809,36169,2016-07-01,2017-06-30,1689520,2869754,4709061
530,13969,0,35689,13439,0,530,34769,0,71822,MISCELLANEOUS,25304,0,0,0,0,TICKET SALES,2231449,DRAMA SCHOOL,271610,CONCESSIONS,57604,0,0,0,0,,71822,0,ARDEN THEATRE COMPANY,,232521993,62434,72545,107314,91856,,,162692,1941068,25304,2015-07-01,2016-06-30,2095358,2560663,4824135
0,0,0,14859,0,0,0,0,0,37315,MISCELLANEOUS,28627,0,0,0,0,TICKET SALES,2382257,DRAMA SCHOOL,294299,CONCESSIONS,83468,0,0,0,0,,37315,0,ARDEN THEATRE COMPANY,,232521993,84000,81050,81050,70690,,,,2708964,28627,2014-07-01,2015-06-30,2863654,2760024,5704479
0,0,0,11592,0,0,0,0,0,18516,MISCELLANEOUS,43629,0,0,0,0,TICKET SALES,2509829,DRAMA SCHOOL,310813,CONCESSIONS,96275,0,0,0,0,,18516,0,,,232521993,40185,39334,39334,48931,,,4737,2014770,43629,2013-07-01,2014-06-30,2103886,2916917,5094540
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,232521993,,,,,,,,,,,,,,
,0,0,36623,,0,-63106,-10948,0,0,OTHER,7793,IMAGE USE & REPRODUCTION,250,0,0,EDUCATIONAL SERVICES,4775,0,0,0,0,0,0,0,0,0,0,0,AFRICAN-AMERICAN HERITAGE,375,421415305,93905,24305,13357,,,6975,975,2296723,8043,2023-01-01,2023-12-31,2397603,4775,2372615
,0,0,249,,0,-2993,-4719,0,2876,IMAGE USE & REPRODUCTION,100,OTHER,57,0,0,ADMISSIONS,12097,EDUCATIONAL SERVICES,8474,0,0,0,0,0,0,,2876,0,AFRICAN-AMERICAN HERITAGE,2579,421415305,89818,20868,16149,,6033,11188,55272,1510144,157,2022-01-01,2022-12-31,1611150,20571,1630745
0,0,0,35,0,0,0,-12304,0,3495,OTHER,20205,IMAGE USE & REPRODUCTION,50,0,0,ADMISSIONS,10081,EDUCATIONAL SERVICES,8242,0,0,0,0,0,0,,3495,0,AFRICAN-AMERICAN HERITAGE,3236,421415305,81889,26684,14380,91295,6804,20110,,225400,20255,2021-01-01,2021-12-31,515245,18323,548617
0,0,0,117,0,3037,0,-774,0,5214,INSURANCE PROCEEDS,2706,IMAGE USE & REPRODUCTI,530,0,0,EDUCATIONAL SERVICES,4479,ADMISSIONS,3620,0,0,0,0,0,0,,5214,0,AFRICAN-AMERICAN HERITAGE FOUNDATION INC,1609,421415305,71200,6190,5416,67190,3444,11600,10364,213324,6273,2020-01-01,2020-12-31,414153,8099,434917
,0,0,73,,3726,-207,-3987,935,21936,INSURANCE PROCEEDS,11805,0,0,0,0,GUIDED TOURS,12301,ADMISSIONS,9191,0,0,0,0,0,0,,21936,0,AFRICAN-AMERICAN HERITAGE FOUNDATION INC,4106,421415305,52895,16807,12820,63767,8369,8605,1327,198175,15531,2019-01-01,2019-12-31,384363,21492,444399
,,0,81,,427,904,-3407,884,14544,0,0,0,0,0,0,ADMISSIONS,9486,GUIDED TOURS,6850,0,0,0,0,0,0,,14544,0,AFRICAN-AMERICAN HERITAGE FOUNDATION INC,4230,421415305,48388,14551,11144,63730,7192,8675,,158497,427,2018-01-01,2018-12-31,309758,16336,342489
,0,0,77,,3,-43847,-1995,616,11386,0,0,0,0,0,0,ADMISSIONS,7963,GUIDED TOURS,3010,0,0,0,0,0,0,,11386,0,AFRICAN-AMERICAN HERITAGE FOUNDATION INC,11346,421415305,49415,14082,12087,68160,11750,9700,,218147,3,2017-01-01,2017-12-31,407574,10973,385191
,0,0,82,,0,-6393,5209,0,17193,0,0,0,0,0,0,ADMISSIONS,13129,RENTAL INCOME,415,0,0,0,0,0,0,,17193,0,AFRICAN-AMERICAN HERITAGE FOUNDATION INC,4657,421415305,45732,11441,16650,119018,8839,9205,,241673,,2016-01-01,2016-12-31,451220,13544,485037
0,0,0,352,0,0,0,28688,0,14160,SPECIAL EVENT REVENUE,1700,0,0,0,0,EXHIBIT REVENUE,81105,ADMISSIONS,11760,0,0,0,0,0,0,,14160,0,AFRICAN AMERICAN HERITAGE FOUNDATION INC,2022,421415305,8000,11153,39841,,3059,9519,,181068,1700,2014-01-01,2014-12-31,190587,92865,329389
0,0,0,422,0,0,0,22721,0,-8764,SPECIAL EVENT REVENUE,1959,0,0,0,0,EXHIBIT REVENUE,54965,ADMISSIONS,14099,0,0,0,0,0,0,,-8764,0,,2395,421415305,12715,26099,48820,29250,7385,6646,,180004,1959,2013-01-01,2013-12-31,215900,69064,306292
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACTIVE IMPLEMENTATION RESEARCH,,832155694,,,,,,,,,,2023-01-01,2023-12-31,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Consultation Services,2029382,Book Royalties,4375,Miscellaneous,20405,0,0,0,0,0,0,0,Active Implementation Research Network Inc,,832155694,0,,,,,,,,,2022-01-01,2022-12-31,,2054162,2054162
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Consultation Services,29125,Implementation Capacity Development,323417,Book Royalties,7953,0,0,0,0,0,0,0,Active Implementation Research Network Inc,,832155694,0,,,,,,,,,2021-01-01,2021-12-31,,360495,360495
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Active Implementation Research Network Inc,,832155694,,,,,,,,,5830,2020-01-01,2020-12-31,RESTRICTED,,
0,0,0,52289,0,0,0,0,0,127566,0,0,0,0,0,0,Admissions,212348,Other Program Revenue,37722,Miscellaneous,7202,0,0,0,0,,127566,0,Alaska Aviation Museum,101814,920071852,216672,,,33580,160363,11644,,178477,,2023-01-01,2023-12-31,440373,257272,936049
0,0,0,55424,0,0,0,0,0,133679,0,0,0,0,0,0,Admissions,217290,Miscellaneous,3171,0,0,0,0,0,0,,133679,0,Alaska Aviation Museum,54489,920071852,128434,,,89726,119683,16725,,158133,,2022-01-01,2022-12-31,393018,220461,867776
4373,4373,0,17005,0,0,4373,0,0,92342,0,0,0,0,0,0,Admissions,142619,0,0,0,0,0,0,0,0,,92342,0,Alaska Aviation Museum,44798,920071852,137979,,,188701,87805,19600,,292711,,2021-01-01,2021-12-31,638991,142619,938337
12415,12415,0,9370,0,0,12415,0,0,34490,0,0,0,0,0,0,Admissions,27880,0,0,0,0,0,0,0,0,,34490,0,Alaska Aviation Museum,16876,920071852,63610,,,312679,30510,16463,,140724,,2020-01-01,2020-12-31,533476,27880,631265
0,0,0,650,0,0,0,0,0,79297,0,0,0,0,0,0,Admissions,155946,0,0,0,0,0,0,0,0,,79297,0,Alaska Aviation Museum,37889,920071852,147661,,,47264,59245,21323,,168281,,2019-01-01,2019-12-31,384529,155946,641778
0,0,0,73,0,0,0,0,0,74868,0,0,0,0,0,0,Admissions,141253,0,0,0,0,0,0,0,0,,74868,0,Alaska Aviation Museum,23132,920071852,104609,,,35992,61460,13979,,524006,,2018-01-01,2018-12-31,678586,141253,933108
0,0,0,19,0,0,0,0,0,62352,0,0,0,0,0,0,Admissions,134567,0,0,0,0,0,0,0,0,,62352,0,Alaska Aviation Museum,33775,920071852,146551,,,151477,69362,29325,,3501,,2017-01-01,2017-12-31,330854,134567,563379
0,0,0,13746,0,0,0,0,0,60487,0,0,0,0,0,0,Admissions,148182,0,0,0,0,0,0,0,0,,60487,0,Alaska Aviation Heritage Museum,42945,920071852,163238,,,198258,69030,38104,,29200,,2016-01-01,2016-12-31,428800,148182,677300
0,0,0,175,0,0,0,0,0,85103,0,0,0,0,0,0,Admissions,143430,0,0,0,0,0,0,0,0,,85103,0,Alaska Aviation Heritage Museum,30518,920071852,153964,,,766345,78455,41744,,2343,,2015-01-01,2015-12-31,964396,143430,1241041
0,0,0,4,0,0,0,0,0,49559,0,0,0,0,0,0,Admission,107389,0,0,0,0,0,0,0,0,,49559,0,Alaska Aviation Heritage Museum,58803,920071852,87032,,,230789,187279,28763,,104246,,2014-01-01,2014-12-31,450830,107389,736258
0,0,0,4,0,0,0,0,0,66154,Other,65,0,0,0,0,Admission,95440,0,0,0,0,0,0,0,0,,66154,0,,52676,920071852,99632,,,111998,83002,36387,,110230,65,2013-01-01,2013-12-31,358247,95440,550236
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TICKET SALES,2578661,THEATER RENTAL,1900,0,0,0,0,0,0,0,0,0,SKYLANDS PERFORMING ARTS CENTER INC,,462077278,0,,,,,,,45439,,2023-01-01,2023-12-31,45439,2580561,2626000
0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,TICKET SALES,1596350,0,0,0,0,0,0,0,0,0,0,0,SKYLANDS PERFORMING ARTS CENTER INC,,462077278,0,,,202915,,,,23368,,2022-01-01,2022-12-31,226283,1596350,1822681
